id,name,city,X,Y,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
1987A,吴江开发区,吴江,120.6580 ,31.1720 ,64,94,107,101,89,86,85,105,105,87,51,39,47,43,21,15,14,15,15,18,24,24,24,28
2010A,市政府,临安,119.7183 ,30.2366 ,25,27,29,29,28,21,24,28,28,35,84,56,40,40,50,64,63,70,87,92,60,52,31,9
2011A,四中,临安,119.6942 ,30.2311 ,21,17,19,21,19,19,22,21,19,19,61,60,45,40,52,60,65,154,206,,,,73,
2012A,监测站,富阳,119.9540 ,30.0540 ,25,25,26,28,28,28,29,28,28,30,42,62,55,53,40,38,40,41,35,25,18,16,13,12
2013A,富春二小,富阳,119.9460 ,30.0490 ,26,24,25,27,27,26,26,26,29,30,35,58,51,52,42,40,40,40,34,27,21,20,18,17
2014A,江东,义乌,120.0910 ,29.3050 ,33,31,32,32,33,32,32,30,32,37,37,34,33,35,35,33,34,32,29,27,24,24,24,23
2015A,北苑,义乌,120.0400 ,29.3340 ,33,31,28,31,28,25,29,36,35,38,42,35,35,39,40,35,37,33,32,27,26,27,24,20
2016A,图书馆,诸暨,120.2510 ,29.7190 ,,,,,,,,,,,,,,,,,,,,,,,,
2017A,富林印务,诸暨,120.2090 ,29.7320 ,,,,,,,,,,,,,,,,,,,,,,,,
2295A,延安路89号,黄山,118.3057 ,29.7128 ,26,16,16,3,4,7,1,10,21,38,51,33,32,33,24,8,9,19,9,16,31,32,118,42
2296A,黄山东路89号,黄山,118.3236 ,29.7207 ,42,42,33,29,25,27,22,38,36,36,45,44,48,40,24,31,22,20,30,34,51,52,62,45
2316A,鳌峰子站,宣城,118.7581 ,30.9447 ,53,37,35,31,39,38,68,50,53,50,40,40,28,23,53,29,52,40,55,67,75,66,59,51
2317A,敬亭山子站,宣城,118.7386 ,30.9742 ,38,52,41,40,32,31,26,33,43,53,52,37,42,32,40,45,54,51,54,61,85,78,74,74
2318A,开发区子站,宣城,118.7175 ,30.9431 ,33,36,41,34,42,35,40,32,35,47,43,44,14,32,31,38,43,45,40,73,62,52,63,61
