85,1,1.403,0.6928,0.7744,0.6875,0.2331,0.9202,0.342,610,120.211,30.21
93,1,1.699,0.612,0.8465,0.8436,0.2435,0.1197,0.2459,610,120.348,30.3058
70,1,1.446,0.7144,0.6991,0.7123,0.3018,0.1663,0.3531,610,120.19,30.2692
71,1,1.4,0.6939,0.7341,0.7329,0.2056,0.1716,0.3684,610,120.157,30.2897
76,1,1.476,0.7155,0.8883,0.7413,0.4677,0.3041,0.2772,610,120.27,30.1819
62,1,1.22,0.5085,0.6428,0.381,0.2742,0.8698,0.6562,610,120.088,30.1808
59,1,0.8285,0.5804,0.8852,0.6751,0.4226,0.6722,0.224,610,119.7183,30.2366
57,1,1.04,0.6205,0.8363,0.6311,0.3948,0.6841,0.426,610,119.6942,30.2311
33,1,0.478,0.7704,0.7207,0.7007,0.3587,0.2061,0.342,628,120.211,30.21
27,1,0.4895,0.6444,0.9363,0.6067,0.1297,0.5777,0.6519,628,120.127,30.2456
28,1,0.588,0.7812,0.6598,0.7245,0.2389,0.2496,0.3531,628,120.19,30.2692
30,1,0.615,0.793,0.6798,0.7445,0.2744,0.2806,0.3684,628,120.157,30.2897
34,1,0.669,0.7842,0.7036,0.7749,0.4095,0.3617,0.2614,628,120.12,30.3119
23,1,0.447,0.5104,0.6516,0.3996,0.3646,0.9184,0.6562,628,120.088,30.1808
26,1,0.419,0.7478,0.6762,0.638,0.3402,0.7567,0.426,628,119.6942,30.2311
23,1,0.378,0.6373,0.84,0.7323,0.317,0.6373,0.184,628,119.954,30.054
37,1,0.334,0.7022,0.805,0.8033,0.2087,0.1204,0.2459,633,120.348,30.3058
31,1,0.262,0.765,0.6373,0.6717,0.1551,0.0908,0.3531,633,120.19,30.2692
34,1,0.3,0.7645,0.6588,0.6921,0.1265,0.1394,0.3684,633,120.157,30.2897
50,1,0.545,0.8344,0.5211,0.6066,0.2712,0.2404,0.3684,634,120.157,30.2897
37,1,0.644,0.7613,0.5618,0.7319,0.412,0.1139,0.0821,1000,120.211,30.21
39,1,0.702,0.6805,0.5598,0.7537,0.3239,0.2799,0.7743,1000,120.063,30.2747
47,1,0.723,0.7538,0.6419,0.8511,0.556,0.0808,0.3078,1000,120.348,30.3058
39,1,0.3275,0.6998,0.7207,0.6009,0.123,0.5689,0.4365,1000,120.127,30.2456
39,1,0.63,0.7128,0.6286,0.758,0.0913,0.1973,0.3939,1000,120.157,30.2897
49,1,0.773,0.6954,0.6694,0.774,0.1891,0.3624,0.2488,1000,120.12,30.3119
45,1,0.761,0.6563,0.7079,0.8484,0.2808,0.3655,0.1906,1000,120.301,30.4183
30,1,0.524,0.5768,0.522,0.5082,0.3772,0.1551,1,1000,120.088,30.1808
24,1,0.439,0.6753,0.5987,0.6333,0.4418,0.8852,0.4807,1000,119.7183,30.2366
23,1,0.426,0.7533,0.5036,0.609,0.4628,1,0.2427,1000,119.6942,30.2311
38,1,0.664,0.8302,0.5773,0.7838,0.5017,0.374,0.3939,1001,120.157,30.2897
49,1,0.7475,0.8071,0.6029,0.7998,0.7514,0.3134,0.2488,1001,120.12,30.3119
37,1,0.6085,0.7193,0.6482,0.878,0.7864,0.3035,0.1906,1001,120.301,30.4183
36,1,0.226,0.6609,0.4936,0.659,0.4562,0.602,0.4807,1001,119.7183,30.2366
